Buffer Size,Med of 10,Num Distinct Elements,Accuracy
1,0.0,10000,0.0
2,0.0,10000,0.0
4,0.0,10000,0.0
5,0.0,10000,0.0
7,8181.66336851505,10000,81.81663368515049
10,6551.331891575015,10000,65.51331891575015
12,10208.939530207443,10000,97.91060469792558
15,10869.6837417481,10000,91.30316258251901
19,9141.567180321552,10000,91.41567180321552
23,8483.115043835156,10000,84.83115043835157
28,8088.585264714071,10000,80.88585264714071
33,11396.846046723793,10000,86.03153953276207
40,10272.098243075849,10000,97.27901756924152
47,9947.18538440529,10000,99.47185384405289
55,10710.802303503588,10000,92.89197696496412
65,10057.61807732793,10000,99.4238192267207
75,10149.448753757493,10000,98.50551246242507
88,9786.721928264797,10000,97.86721928264797
101,9819.055741718017,10000,98.19055741718017
117,10296.479202282426,10000,97.03520797717574
135,9782.184964127679,10000,97.82184964127678
155,9690.201575863644,10000,96.90201575863644
178,9899.47208992167,10000,98.9947208992167
204,10111.49054193847,10000,98.8850945806153
233,10143.244620055777,10000,98.56755379944224
266,10028.507447090564,10000,99.71492552909437
303,10096.816554686957,10000,99.03183445313043
345,9920.44269925321,10000,99.2044269925321
392,10371.574199918145,10000,96.28425800081855
445,10278.086606108256,10000,97.21913393891744
505,10408.08176783468,10000,95.91918232165321
572,10061.763450390941,10000,99.38236549609059
648,10091.659842016237,10000,99.08340157983763
733,9921.14284827442,10000,99.2114284827442
828,9875.737754982933,10000,98.75737754982933
934,10033.90896770692,10000,99.66091032293079
1054,9991.007957267877,10000,99.91007957267877
1188,10001.855346375043,10000,99.98144653624956
1338,10212.083765706042,10000,97.87916234293958
1506,9956.025660061416,10000,99.56025660061417
1694,9889.660969651575,10000,98.89660969651575
1905,10060.463034085045,10000,99.39536965914955
2140,10058.046179094572,10000,99.41953820905428
2403,10080.60131505865,10000,99.1939868494135
2698,9984.911615639747,10000,99.84911615639747
3026,10108.238468253021,10000,98.91761531746978
3394,10099.504632423668,10000,99.00495367576332
3804,9960.432960771685,10000,99.60432960771685
4262,10049.690046977277,10000,99.50309953022722
4773,9955.766438303937,10000,99.55766438303937
5343,9904.898096638693,10000,99.04898096638694
5979,9987.314662173123,10000,99.87314662173124
6688,9998.21511524708,10000,99.9821511524708
7478,10025.519692819522,10000,99.74480307180478
8360,9997.370517890966,10000,99.97370517890965
9341,9992.173157433586,10000,99.92173157433587
10435,10000.0,10000,100.0
11654,10000.0,10000,100.0
13010,10000.0,10000,100.0
14521,10000.0,10000,100.0
16202,10000.0,10000,100.0
18073,10000.0,10000,100.0
20155,10000.0,10000,100.0
22472,10000.0,10000,100.0
25048,10000.0,10000,100.0
27913,10000.0,10000,100.0
31099,10000.0,10000,100.0
34640,10000.0,10000,100.0
38577,10000.0,10000,100.0
42951,10000.0,10000,100.0
47812,10000.0,10000,100.0
53213,10000.0,10000,100.0
59213,10000.0,10000,100.0
65876,10000.0,10000,100.0
73276,10000.0,10000,100.0
81492,10000.0,10000,100.0
90615,10000.0,10000,100.0
100741,10000.0,10000,100.0
111980,10000.0,10000,100.0
124454,10000.0,10000,100.0
138296,10000.0,10000,100.0
153653,10000.0,10000,100.0
170691,10000.0,10000,100.0
189590,10000.0,10000,100.0
210551,10000.0,10000,100.0
233799,10000.0,10000,100.0
259577,10000.0,10000,100.0
288160,10000.0,10000,100.0
319849,10000.0,10000,100.0
354979,10000.0,10000,100.0
393917,10000.0,10000,100.0
437075,10000.0,10000,100.0
484903,10000.0,10000,100.0
537903,10000.0,10000,100.0
596628,10000.0,10000,100.0
661691,10000.0,10000,100.0
733769,10000.0,10000,100.0
813613,10000.0,10000,100.0
902051,10000.0,10000,100.0
1000000,10000.0,10000,100.0
