Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy,Lowest Accuracy,Highest Accuracy
1,0.0,0.0,0.0,1001,0.0,0.0,0.0
2,256.95667498908557,3889.8107779877255,709.1781679362729,1001,70.84696982380349,25.66999750140715,-188.59248531345906
4,438.7455776336128,1735.5837028024348,730.6163027706923,1001,72.9886416354338,43.83072703632496,26.615014705051465
5,582.9177697963916,3275.6541091974586,802.591413230159,1001,80.17896236065525,58.23354343620295,-127.23817274699884
7,500.8013235290293,1603.3269329965506,853.2634169006675,1001,85.24110058947727,50.03010225065228,39.827479221123816
10,527.850277914775,1220.8116999436045,921.578800706058,1001,92.06581425634946,52.73229549598152,78.04078921642312
12,538.7257982590692,1310.2687300751256,773.1015640777798,1001,77.23292348429369,53.81876106484207,69.10402296951791
15,626.9527228178545,1464.7655241503978,1067.6643247768302,1001,93.34022729502196,62.632639642143296,53.66977780715306
19,733.3515112203609,1742.552024018611,888.3684082810526,1001,88.7480927353699,73.26188923280328,25.918878719419467
23,659.4844746074659,1462.611228301294,1027.1164493482552,1001,97.39096410107341,65.88256489585073,53.884992177692915
28,857.7156194752865,1074.5839297168811,951.8788745520142,1001,95.09279466054087,85.68587607145719,92.64895807024165
33,785.0785762678661,1372.749581490577,968.1568580164407,1001,96.71896683480925,78.42942819858803,62.862179671271036
40,864.0326372887424,1320.2938820023242,1078.7710454989194,1001,92.23066478532273,86.31694678209215,68.10250929047712
47,745.7139927933662,1395.656948293797,958.2266255525532,1001,95.72693561963568,74.49690237695965,60.57373143918111
55,752.6866817326385,1062.2444239874897,957.6498620649052,1001,95.66931688960092,75.19347469856528,93.88167592532571
65,887.192100282086,1367.9198137879803,1010.9180751489421,1001,99.009183301804,88.63057944875983,63.34467394725471
75,819.3394246718051,1246.8102805714664,971.2716368393499,1001,97.0301335503846,81.8520903768037,75.44352841443892
88,888.3782534112897,1286.1641062537653,995.6678999926337,1001,99.46732267658678,88.74907626486412,71.51207729732614
101,814.6259194562554,1164.9978706148995,986.5502292177737,1001,98.55646645532204,81.38121073489064,83.61659634216788
117,895.7850635324432,1069.88850567218,1000.389054136285,1001,99.93896644718131,89.48901733590841,93.11803140138063
135,864.775582061412,1128.9538060682364,1040.7682370609598,1001,96.02714914475926,86.3911670391021,87.21740199118517
155,909.3026298465792,1083.9402572019892,980.4422625471781,1001,97.94627997474306,90.83942356109682,91.7142600197813
178,854.2333517599884,1119.7945766830467,958.2304752059426,1001,95.72732020039388,85.33799717882002,88.13240992177356
204,959.3651984213512,1153.463300827604,1021.043836282938,1001,97.99761875295326,95.84067916297215,84.76890101622338
233,893.0621336228967,1066.7844216073556,1028.1004795354838,1001,97.29265938706455,89.21699636592373,93.42812970955488
266,921.8444214453225,1049.7090180067762,990.4895505674422,1001,98.95000505169253,92.09234979473752,95.13396423508729
303,934.9870757561142,1069.4465996113952,1015.0921718122638,1001,98.59219062814547,93.40530227333808,93.16217786099948
345,953.8010892925101,1072.3968590816457,1005.4592356157069,1001,99.5545219165128,95.28482410514587,92.86744664519023
392,940.9277995819399,1070.689992608471,986.8785473603814,1001,98.58926547056757,93.99878117701698,93.03796277637653
445,952.5372653251643,1097.4809385429492,992.3802625078042,1001,99.13888736341701,95.15856796455188,90.36154460110399
